,serial_number,countries,total_cases,new_cases,total_deaths,new_deaths,total_recovered,active_cases,serious_critical,total_cases_permn,total_deaths_permn,total_tests,total_tests_permillion,total_pop
162,155,Aruba,"44,224",,292,,"42,438",,"1,494",2,"410,969","2,714","177,885","1,653,068"
163,156,Tanzania,"43,078",,846,,N/A,N/A,N/A,7,681,13,,
164,157,Mauritius,"42,932",,"1,051",,"41,201",,680,,"33,679",824,"358,675","281,374"
165,158,Mayotte,"42,027",,188,,N/A,N/A,N/A,,"146,815",657,"176,919","618,038"
103,96,Bosnia and Herzegovina,"403,117",,"16,352",,"379,084",,"7,681",,"124,062","5,032","1,884,721","580,036"
10,3,France,"40,138,560",,"167,642",,"39,970,918",,0,869,"612,013","2,556","271,490,188","4,139,547"
36,29,Israel,"4,837,580",,"12,670",,"4,798,473",,"26,437",21,"518,720","1,359","41,373,364","4,436,346"
37,30,Belgium,"4,817,196",,"34,376",,"4,773,093",,"9,727",43,"412,845","2,946","37,018,657","3,172,590"
38,31,DPRK,"4,772,813",,74,,"4,772,739",,0,,"183,636",3,,
39,32,Thailand,"4,757,473",,"34,475",,"4,692,636",,"30,362",N/A,"67,888",492,"17,270,775","246,450"
40,33,Canada,"4,728,375",,"53,793",,"4,657,632",+763,"16,950",99,"123,172","1,401","66,447,548","1,730,927"
41,34,Czechia,"4,653,089",+644,"42,853",+1,"4,606,452",+53,"3,784",14,"433,378","3,991","57,303,416","5,337,112"
42,35,Peru,"4,519,976",,"222,161",,"4,297,815",,0,4,"134,187","6,595","39,010,194","1,158,115"
43,36,Switzerland,"4,414,441",,"14,452",,"4,396,008",+713,"3,981",39,"503,148","1,647","23,833,472","2,716,487"
44,37,Philippines,"4,174,101",,"66,643",,"4,103,828",,"3,630",162,"37,100",592,"35,659,012","316,944"
45,38,South Africa,"4,076,463",,"102,595",,"3,912,506",,"61,362",192,"67,095","1,689","26,795,090","441,027"
104,97,Oman,"399,449",,"4,628",,"384,669",,"10,152",2,"75,028",869,"25,000,000","4,695,724"
166,159,Togo,"39,513",,290,,"39,216",,7,,"4,552",33,"812,881","93,641"
167,160,Guinea,"38,563",,468,,"37,757",,338,8,"2,781",34,"660,107","47,607"
11,4,Germany,"38,496,870",,"176,122",,"38,240,600",,"80,148",N/A,"458,932","2,100","122,332,384","1,458,359"
168,161,Bahamas,"38,084",,844,,"36,366",,874,1,"95,087","2,107","257,839","643,767"
169,162,Isle of Man,"38,008",,116,,N/A,N/A,N/A,,"443,335","1,353","150,753","1,758,422"
12,5,Brazil,"37,827,912",,"705,962",,"36,249,161",,"872,789",N/A,"175,655","3,278","63,776,166","296,146"
105,98,Zambia,"349,287",,"4,069",,"341,316",,"3,902",,"17,940",209,"4,112,961","211,244"
106,99,North Macedonia,"348,411",,"9,941",,"337,068",,"1,402",,"167,400","4,776","2,226,216","1,069,626"
107,100,Kenya,"343,955",,"5,689",,"337,309",,957,1,"6,119",101,"3,967,062","70,569"
170,163,Lesotho,"34,790",,723,,"25,980",,"8,087",,"15,990",332,"431,221","198,199"
171,164,Faeroe Islands,"34,658",,28,,N/A,N/A,N/A,5,"703,959",569,"778,000","15,802,409"
13,6,S. Korea,"34,571,873",,"35,934",,"34,535,939",,0,231,"673,523",700,"15,804,065","307,892"
172,165,Haiti,"34,306",,860,,"33,372",,74,,"2,937",74,"132,422","11,337"
108,101,Albania,"334,726",,"3,602",,"329,428",,"1,696",,"116,777","1,257","1,941,032","677,173"
109,102,Botswana,"330,256",,"2,801",,"327,049",,406,1,"135,286","1,147","2,026,898","830,300"
14,7,Japan,"33,803,572",,"74,694",,N/A,N/A,N/A,83,"269,169",595,"100,414,883","799,578"
173,166,Mali,"33,152",,743,,"32,332",,77,,"1,544",35,"804,909","37,483"
